,每日PnL,净值,资金占用比例,杠杆倍数,换手率
2015-02-04,-3070.0,1.08174,0.06762197940355354,1.00642,0.024265500000000002
2015-02-05,3190.0,1.08493,0.06307158065497313,0.939475,0.01722875
2015-02-06,2065.0,1.086995,0.06830482200930087,1.0214,0.017241000000000003
2015-02-09,-100.0,1.086895,0.06782642297554042,1.01406,0.021831600000000003
2015-02-10,3540.0,1.090435,0.06758550486732359,1.01408,0.0
2015-02-11,2600.0,1.093035,0.06505564780633741,0.97683,0.024562300000000002
2015-02-12,2240.0,1.095275,0.06490529775627125,0.976645,0.03400425
2015-02-13,4745.0,1.10002,0.06643965564262468,1.004285,0.01398775
2015-02-16,-665.0,1.099355,0.06153681022053841,0.96644,0.035727999999999996
2015-02-17,-130.0,1.099225,0.0673246150697082,1.01757,0.037664300000000005
2015-02-25,-2925.0,1.0963,0.05901760467025449,0.9243,0.053843449999999994
2015-02-26,7655.0,1.103955,0.06264304251531992,0.98793,0.059268650000000006
2015-02-27,6185.0,1.11014,0.06167041994703371,0.93964,0.06307015
2015-03-02,5815.0,1.115955,0.06223113835235291,0.954245,0.0415422
2015-03-03,-13765.0,1.10219,0.06560230087371507,0.95926,0.10914830000000002
2015-03-04,1520.0,1.10371,0.0701715124443921,1.0325,0.021775600000000003
2015-03-05,1920.0,1.1056300000000001,0.06269692392572562,0.99028,0.0794464
2015-03-06,1060.0,1.10669,0.06578174556560555,1.04,0.049252000000000004
2015-03-09,-1255.0,1.105435,0.06343457552909036,0.96514,0.06558415000000001
2015-03-10,-2995.0,1.10244,0.06643889916911579,1.01067,0.04349485
2015-03-11,-1940.0,1.1005,0.06559963652885054,1.03132,0.07079850000000001
2015-03-12,9720.0,1.11022,0.06666336401794239,1.0573,0.022450400000000002
2015-03-13,1695.0,1.111915,0.06518088163213916,0.99898,0.06387095
2015-03-16,-4960.0,1.106955,0.06244481482987114,0.98748,0.0783948
2015-03-17,-5955.0,1.101,0.06488732970027249,1.020585,0.07763070000000001
2015-03-18,80.0,1.10108,0.060085643186689436,0.94513,0.03697715000000001
2015-03-19,-735.0,1.100345,0.06364090353480047,1.000385,0.06039460000000001
2015-03-20,-535.0,1.09981,0.06541611732935688,1.02779,0.0208236
2015-03-23,-1120.0,1.09869,0.07299247285403526,1.07143,0.0520868
2015-03-24,6540.0,1.10523,0.06432457497534451,0.978335,0.051454950000000006
2015-03-25,3535.0,1.108765,0.06518247780187866,0.995515,0.06576955
2015-03-26,1745.0,1.11051,0.06556735193739813,1.00286,0.034947500000000006
2015-03-27,-6370.0,1.10414,0.06940904233158839,1.02159,0.0753395
2015-03-30,4325.0,1.108465,0.0641020690775081,1.01507,0.14854745000000003
2015-03-31,-6285.0,1.10218,0.06538047324393476,0.993615,0.1136004
2015-04-01,-1140.0,1.10104,0.06892687822422439,1.048175,0.03784060000000001
2015-04-02,-2085.0,1.098955,0.0641940752806075,0.97132,0.043204
2015-04-03,6890.0,1.105845,0.06055880344894629,0.956695,0.04540775
2015-04-07,-10930.0,1.094915,0.06674426781987643,1.00719,0.05535775
2015-04-08,-3040.0,1.091875,0.06658491127647397,1.00252,0.05045670000000001
2015-04-09,-945.0,1.09093,0.06521312091518247,0.981185,0.044165800000000005
2015-04-10,-5380.0,1.08555,0.06599949334438764,0.988225,0.030818200000000004
2015-04-13,12440.0,1.09799,0.06459771946921193,0.977095,0.0181685
2015-04-14,1925.0,1.099915,0.06496629284990205,1.02082,0.054159700000000005
2015-04-15,1920.0,1.101835,0.06496172294399798,1.02253,0.047222
2015-04-16,-3575.0,1.09826,0.0658427421557737,1.033035,0.06458760000000001
2015-04-17,-1170.0,1.09709,0.06386144254345587,0.964525,0.041814800000000006
2015-04-20,585.0,1.097675,0.06364670781424374,0.96172,0.089507
2015-04-21,-6930.0,1.090745,0.06572425268967541,1.02412,0.06219810000000001
2015-04-22,1780.0,1.092525,0.06832713210224023,1.02863,0.020966400000000003
2015-04-23,1255.0,1.09378,0.0645038307520708,0.9698,0.08544165000000001
2015-04-24,-3960.0,1.08982,0.06612688333853298,1.02952,0.09622960000000001
2015-04-27,-2100.0,1.08772,0.06790653844739455,1.05519,0.07157850000000002
2015-04-28,-1520.0,1.0862,0.06454538758976248,1.00156,0.07585410000000001
2015-04-29,1620.0,1.08782,0.06532321523781509,0.97497,0.08779850000000002
2015-04-30,2015.0,1.0898349999999999,0.0650074093784839,1.012105,0.0930815
2015-05-04,-6045.0,1.08379,0.06449492060269979,0.955685,0.05656005
2015-05-05,-205.0,1.083585,0.06277550907404589,0.92888,0.028898800000000002
2015-05-06,-4695.0,1.07889,0.06364666462753385,0.938125,0.0
2015-05-07,-1600.0,1.07729,0.07037357628865024,1.041025,0.0542108
2015-05-08,7000.0,1.08429,0.06880516282544338,1.023925,0.0358638
2015-05-11,-3775.0,1.0805150000000001,0.07120183431049082,1.056895,0.022505349999999997
2015-05-12,1965.0,1.0824799999999999,0.06563502327987585,0.97318,0.04898110000000001
2015-05-13,-1000.0,1.08148,0.0658580833672375,0.97546,0.0
2015-05-14,12430.0,1.09391,0.06718221791555064,1.00919,0.033182800000000005
2015-05-15,-3530.0,1.09038,0.06502622938791981,0.97199,0.050962099999999996
2015-05-18,2820.0,1.0932,0.060459842663739494,0.94421,0.0646386
2015-05-19,6210.0,1.09941,0.06492864354517425,1.01976,0.054062400000000004
2015-05-20,14650.0,1.11406,0.06248514442669157,0.99446,0.044637600000000006
2015-05-21,-1670.0,1.11239,0.06519138971044329,1.035975,0.08119545000000002
2015-05-22,715.0,1.113105,0.06372920793635821,1.01339,0.12592230000000001
2015-05-25,595.0,1.1137,0.06350471401634192,1.01036,0.04306225000000001
2015-05-26,10900.0,1.1246,0.06194869286857551,0.99525,0.0921767
2015-05-27,2455.0,1.127055,0.06232615089769355,1.0035,0.09293585
2015-05-28,-1525.0,1.12553,0.07242521301075938,1.080525,0.079716
2015-05-29,-2320.0,1.12321,0.06067022195315214,0.93062,0.09651455
2015-06-01,2590.0,1.1258,0.06761005507194884,1.04522,0.06772850000000001
2015-06-02,-1245.0,1.124555,0.06531659189635011,1.00723,0.05489995
2015-06-03,625.0,1.12518,0.06593598357596119,1.018755,0.09153900000000001
2015-06-04,3620.0,1.1288,0.0655784904323175,1.0161,0.01975365
2015-06-05,-735.0,1.128065,0.0673577763692695,1.044485,0.0253617
2015-06-08,3100.0,1.131165,0.06306913668651347,0.97838,0.03014725
2015-06-09,820.0,1.131985,0.06803080429510992,1.059355,0.07474145000000001
2015-06-10,2315.0,1.1343,0.06665361897205326,1.03886,0.019207300000000004
2015-06-11,2100.0,1.1364,0.06651698345652939,1.03847,0.020856500000000004
2015-06-12,7840.0,1.14424,0.06100048940781654,0.95746,0.06201929999999999
2015-06-15,-2890.0,1.14135,0.06554308494326894,1.02898,0.0783293
2015-06-16,-5405.0,1.135945,0.06519791891332767,1.017975,0.029710100000000007
2015-06-17,-2950.0,1.132995,0.06363999841129044,0.99034,0.045752350000000004
2015-06-18,3720.0,1.136715,0.059896719934196346,0.93355,0.043311100000000005
2015-06-19,-3370.0,1.133345,0.06562458915864101,1.02329,0.020472900000000006
2015-06-23,-3545.0,1.1298,0.06588303239511419,1.023695,0.03726100000000001
2015-06-24,-395.0,1.129405,0.06344061696202868,0.984045,0.014803950000000003
2015-06-25,-300.0,1.129105,0.06109117398293339,0.947205,0.046487
2015-06-26,-2075.0,1.12703,0.06615342981109643,1.02687,0.015239700000000002
2015-06-29,755.0,1.127785,0.06417118511063723,0.99579,0.05776925
2015-06-30,3570.0,1.131355,0.06203428632038573,0.96604,0.018508
2015-07-01,-4025.0,1.12733,0.06267486006759335,0.971575,0.035347199999999995
2015-07-02,235.0,1.127565,0.06344330482056468,0.983935,0.03296335
2015-07-03,5315.0,1.13288,0.06357804886660547,0.99119,0.013576500000000003
2015-07-06,-6170.0,1.12671,0.06090981707804138,0.94401,0.0475657
2015-07-07,-4910.0,1.1218,0.06279515065073989,0.97058,0.048279
2015-07-08,-3435.0,1.118365,0.06093010779128459,0.93943,0.03588235000000001
2015-07-09,1825.0,1.12019,0.06848431962434945,1.095935,0.0395015
2015-07-10,-4265.0,1.115925,0.0643240361135381,1.02544,0.0705376
2015-07-13,-2115.0,1.11381,0.06358324130686563,0.976995,0.0789133
2015-07-14,2100.0,1.11591,0.06697574177128979,1.03307,0.051544150000000004
2015-07-15,775.0,1.116685,0.061189323757371156,0.94126,0.04564315
2015-07-16,-2120.0,1.114565,0.06708114825066282,0.99189,0.07524810000000001
2015-07-17,3460.0,1.118025,0.06377066702444041,0.98076,0.08164170000000001
2015-07-20,5640.0,1.123665,0.07050878153186226,1.055975,0.07380205000000001
2015-07-21,-4275.0,1.11939,0.06348922180830632,0.97676,0.057387099999999996
2015-07-22,5300.0,1.12469,0.06261645431185482,0.96813,0.022725500000000003
2015-07-23,-2755.0,1.121935,0.06222441585296831,0.959325,0.058588600000000005
